grupo;indicador;parametro;valor_atual;valor_padrao;tipo;atualizado_em
SCORE;EXPOSICAO_HIDRICA;peso;0.4;0.3;percentual;2026-08-18T00:48:53.281866+00:00
SCORE;TRAFEGABILIDADE;peso;0.15;0.25;percentual;2026-08-18T00:48:53.281866+00:00
SCORE;INSTABILIDADE;peso;0.2;0.2;percentual;2026-08-18T00:48:53.281866+00:00
SCORE;INCENDIO;peso;0.15;0.15;percentual;2026-08-18T00:48:53.281866+00:00
SCORE;TEMPESTADES;peso;0.1;0.1;percentual;2026-08-18T00:48:53.281866+00:00
EXPOSICAO_HIDRICA;T3;proximidade_drenagem;0.4;0.4;percentual;2026-08-18T00:48:53.281866+00:00
EXPOSICAO_HIDRICA;T3;relevancia_area_montante;0.35;0.35;percentual;2026-08-18T00:48:53.281866+00:00
EXPOSICAO_HIDRICA;T3;posicao_topografica;0.25;0.25;percentual;2026-08-18T00:48:53.281866+00:00
INSTABILIDADE;ATIVACAO;normal;0.0;0.0;fator;2026-08-18T00:48:53.281866+00:00
INSTABILIDADE;ATIVACAO;atencao;0.35;0.35;fator;2026-08-18T00:48:53.281866+00:00
INSTABILIDADE;ATIVACAO;alerta;0.65;0.65;fator;2026-08-18T00:48:53.281866+00:00
INSTABILIDADE;ATIVACAO;critico;1.0;1.0;fator;2026-08-18T00:48:53.281866+00:00
INCENDIO;SECURA;0_1_dia;0.9;0.9;fator;2026-08-18T00:48:53.281866+00:00
INCENDIO;SECURA;2_3_dias;1.0;1.0;fator;2026-08-18T00:48:53.281866+00:00
INCENDIO;SECURA;4_6_dias;1.05;1.05;fator;2026-08-18T00:48:53.281866+00:00
INCENDIO;SECURA;7_mais_dias;1.1;1.1;fator;2026-08-18T00:48:53.281866+00:00
TEMPESTADES;VENTO_CHUVA;base;0.75;0.75;fator;2026-08-18T00:48:53.281866+00:00
TEMPESTADES;VENTO_CHUVA;influencia_chuva;0.25;0.25;fator;2026-08-18T00:48:53.281866+00:00
TRAFEGABILIDADE;COMPOSICAO;peso_dia;0.35;0.35;percentual;2026-08-18T00:48:53.281866+00:00
TRAFEGABILIDADE;COMPOSICAO;peso_acumulado;0.45;0.45;percentual;2026-08-18T00:48:53.281866+00:00
TRAFEGABILIDADE;COMPOSICAO;peso_recuperacao;0.2;0.2;percentual;2026-08-18T00:48:53.281866+00:00
TRAFEGABILIDADE;AGREGACAO;limiar_relevancia;25.0;25;fator;2026-08-18T00:48:53.281866+00:00
